0	0.52	0
0.52	1.54	2
1.54	9.19	1
9.19	9.7	0
9.7	9.9	1
9.9	10.1	3
10.1	11.94	1
11.94	12.96	2
12.96	18.06	1
18.06	19.08	2
19.08	21.12	1
21.12	21.4	2
21.4	21.5	3
21.5	22.24	2
22.24	23.2	1
23.2	23.3	3
23.3	23.4	1
23.4	23.6	3
23.6	31.72	1
31.72	32.23	2
32.23	35.29	1
35.29	35.8	2
35.8	40.9	1
40.9	41.41	2
41.41	41.8	1
41.8	41.9	3
41.9	43.5	1
43.5	43.9	3
43.9	43.95	1
43.95	44	2
44	44.1	3
44.1	46	2
46	46.1	3
46.1	47.72	2
47.72	48.23	0
48.23	49.76	1
49.76	55.88	2
55.88	56.39	0
56.39	56.4	2
56.4	56.6	3
56.6	56.7	2
56.7	56.8	3
56.8	57.1	2
57.1	57.5	3
57.5	57.6	2
57.6	58.62	1
58.62	64.2	2
64.2	64.4	3
64.4	64.43	2
64.43	65.8	1
65.8	66.1	3
66.1	66.77	1
66.77	67.28	0
67.28	68.3	2
68.3	69.32	0
69.32	69.4	1
69.4	69.5	3
69.5	71.97	1
71.97	74.01	2
74.01	75.54	1
75.54	75.8	2
75.8	76	3
76	76.25	2
76.25	77.9	1
77.9	78.1	3
78.1	78.2	1
78.2	78.3	3
78.3	78.4	1
78.4	78.5	3
78.5	78.69	1
78.69	78.7	2
78.7	78.8	3
78.8	79.7	2
79.7	79.9	3
79.9	80.01	2
80.01	80.52	1
80.52	80.6	2
80.6	80.9	3
80.9	81.33	2
81.33	81.84	1
81.84	86.5	2
86.5	86.6	3
86.6	89.08	2
89.08	89.59	0
89.59	90.1	1
90.1	91.1	2
91.1	91.3	3
91.3	91.32	2
91.32	91.5	1
91.5	91.6	3
91.6	92.95	1
92.95	93.97	2
93.97	94.48	0
94.48	101.62	1
101.62	102.13	2
102.13	102.64	0
102.64	106.1	1
106.1	106.3	3
106.3	108.96	1
108.96	109.98	2
109.98	113.5	1
113.5	113.6	3
113.6	113.65	1
113.65	114.67	2
114.67	115.18	0
115.18	117.22	1
117.22	120.2	2
120.2	120.3	3
120.3	120.4	2
120.4	120.5	3
120.5	120.6	2
120.6	120.7	3
120.7	122.11	2
122.11	123.2	1
123.2	123.3	3
123.3	129.86	1
129.86	130.37	0
130.37	130.88	2
130.88	132.41	1
132.41	132.8	2
132.8	132.9	3
132.9	135.06	2
135.06	135.57	1
135.57	137.1	2
137.1	142.71	1
142.71	143.22	0
143.22	144.24	2
144.24	145.26	0
145.26	146.28	2
146.28	149.85	1
